sample	ST
st_serotype_mixed_range_100_sim_01	53?/NF*?
st_serotype_mixed_range_100_sim_02	43?/NF?
st_serotype_mixed_range_100_sim_03	7423?/NF*?
st_serotype_mixed_range_100_sim_04	12*?
st_serotype_mixed_range_100_sim_05	NF*?
st_serotype_mixed_range_100_sim_06	17
st_serotype_mixed_range_100_sim_07	NF*?
st_serotype_mixed_range_100_sim_08	NF*?
st_serotype_mixed_range_100_sim_09	NF*?
st_serotype_mixed_range_100_sim_10	17
st_serotype_mixed_range_60_sim_01	NF*?
st_serotype_mixed_range_60_sim_02	NF*?
st_serotype_mixed_range_60_sim_03	NF*?/NF?
st_serotype_mixed_range_60_sim_04	NF*?
st_serotype_mixed_range_60_sim_05	NF*?
st_serotype_mixed_range_60_sim_06	NF*?
st_serotype_mixed_range_60_sim_07	NF*?/NF?
st_serotype_mixed_range_60_sim_08	NF*?
st_serotype_mixed_range_60_sim_09	NF*?
st_serotype_mixed_range_60_sim_10	NF*?/NF?
st_serotype_mixed_range_70_sim_01	NF*?/NF?
st_serotype_mixed_range_70_sim_02	NF*?/NF?
st_serotype_mixed_range_70_sim_03	NF*?
st_serotype_mixed_range_70_sim_04	73?/NF*?
st_serotype_mixed_range_70_sim_05	NF*?
st_serotype_mixed_range_70_sim_06	NF*?
st_serotype_mixed_range_70_sim_07	NF*?
st_serotype_mixed_range_70_sim_08	NF*?
st_serotype_mixed_range_70_sim_09	NF*?
st_serotype_mixed_range_70_sim_10	NF*?
st_serotype_mixed_range_80_sim_01	NF*?/NF?
st_serotype_mixed_range_80_sim_02	NF*?
st_serotype_mixed_range_80_sim_03	NF*?/NF?
st_serotype_mixed_range_80_sim_04	NF*?/NF?
st_serotype_mixed_range_80_sim_05	NF*?
st_serotype_mixed_range_80_sim_06	NF*?/NF?
st_serotype_mixed_range_80_sim_07	NF*?/NF?
st_serotype_mixed_range_80_sim_08	17?/NF*?
st_serotype_mixed_range_80_sim_09	NF*?/NF?
st_serotype_mixed_range_80_sim_10	73?/NF*?
st_serotype_mixed_range_90_sim_01	NF*?/NF?
st_serotype_mixed_range_90_sim_02	NF*?
st_serotype_mixed_range_90_sim_03	NF*?
st_serotype_mixed_range_90_sim_04	73?
st_serotype_mixed_range_90_sim_05	13694*?/17?
st_serotype_mixed_range_90_sim_06	NF*?
st_serotype_mixed_range_90_sim_07	NF*?
st_serotype_mixed_range_90_sim_08	11?/NF?
st_serotype_mixed_range_90_sim_09	NF*?
st_serotype_mixed_range_90_sim_10	NF*?
st_serotype_mixed_range_rare_sim_01	NF*?
st_serotype_mixed_range_rare_sim_02	NF*/NF*?
st_serotype_mixed_range_rare_sim_03	NF*?/NF?
st_serotype_mixed_range_rare_sim_04	NF*?/NF?
st_serotype_mixed_range_rare_sim_05	NF*?
st_serotype_mixed_range_rare_sim_06	NF*?
st_serotype_mixed_range_rare_sim_07	7423*?/NF*?
st_serotype_mixed_range_rare_sim_08	NF*?
st_serotype_mixed_range_rare_sim_09	NF*?
st_serotype_mixed_range_rare_sim_10	NF*?
