sample	serotype
st_serotype_mixed_range_100_sim_01_R_unmapped_R.contigs	O104:H21
st_serotype_mixed_range_100_sim_02_R_unmapped_R.contigs	O6:H10
st_serotype_mixed_range_100_sim_03_R_unmapped_R.contigs	O157:H7
st_serotype_mixed_range_100_sim_04_R_unmapped_R.contigs	O4:H40
st_serotype_mixed_range_100_sim_05_R_unmapped_R.contigs	O26:H11
st_serotype_mixed_range_100_sim_06_R_unmapped_R.contigs	O103:H2
st_serotype_mixed_range_100_sim_07_R_unmapped_R.contigs	O6:H1
st_serotype_mixed_range_100_sim_08_R_unmapped_R.contigs	O25:-
st_serotype_mixed_range_100_sim_09_R_unmapped_R.contigs	O104:H21
st_serotype_mixed_range_100_sim_10_R_unmapped_R.contigs	O103:H2
st_serotype_mixed_range_60_sim_01_R_unmapped_R.contigs	O1/O26/O6:H11/H7
st_serotype_mixed_range_60_sim_02_R_unmapped_R.contigs	O26:H10/H11
st_serotype_mixed_range_60_sim_03_R_unmapped_R.contigs	O103/O4:H2/H7
st_serotype_mixed_range_60_sim_04_R_unmapped_R.contigs	O103/O6:H1
st_serotype_mixed_range_60_sim_05_R_unmapped_R.contigs	-:H1/H7
st_serotype_mixed_range_60_sim_06_R_unmapped_R.contigs	O103/O4:H2/H40
st_serotype_mixed_range_60_sim_07_R_unmapped_R.contigs	O1/O104/O157:H7
st_serotype_mixed_range_60_sim_08_R_unmapped_R.contigs	O157/O26:H7
st_serotype_mixed_range_60_sim_09_R_unmapped_R.contigs	O157:H10/H7
st_serotype_mixed_range_60_sim_10_R_unmapped_R.contigs	O103/O4:H2
st_serotype_mixed_range_70_sim_01_R_unmapped_R.contigs	O157/O6:H7
st_serotype_mixed_range_70_sim_02_R_unmapped_R.contigs	O157/O4:H1
st_serotype_mixed_range_70_sim_03_R_unmapped_R.contigs	-:H10/H7
st_serotype_mixed_range_70_sim_04_R_unmapped_R.contigs	O4/O6:H1/H7
st_serotype_mixed_range_70_sim_05_R_unmapped_R.contigs	O25/O26:H11
st_serotype_mixed_range_70_sim_06_R_unmapped_R.contigs	O104:-
st_serotype_mixed_range_70_sim_07_R_unmapped_R.contigs	O103:H2
st_serotype_mixed_range_70_sim_08_R_unmapped_R.contigs	O1/O4:H40/H7
st_serotype_mixed_range_70_sim_09_R_unmapped_R.contigs	O157/O6:H10
st_serotype_mixed_range_70_sim_10_R_unmapped_R.contigs	O26:H11
st_serotype_mixed_range_80_sim_01_R_unmapped_R.contigs	O103/O6:H1/H2
st_serotype_mixed_range_80_sim_02_R_unmapped_R.contigs	O4:H2/H40
st_serotype_mixed_range_80_sim_03_R_unmapped_R.contigs	O1/O6:H7
st_serotype_mixed_range_80_sim_04_R_unmapped_R.contigs	O1/O25:H7
st_serotype_mixed_range_80_sim_05_R_unmapped_R.contigs	O1/O26:H11/H7
st_serotype_mixed_range_80_sim_06_R_unmapped_R.contigs	O157:H10/H7
st_serotype_mixed_range_80_sim_07_R_unmapped_R.contigs	O157:H7
st_serotype_mixed_range_80_sim_08_R_unmapped_R.contigs	O103:H10/H2/H7
st_serotype_mixed_range_80_sim_09_R_unmapped_R.contigs	O103/O4:H2
st_serotype_mixed_range_80_sim_10_R_unmapped_R.contigs	O6:H1/H7
st_serotype_mixed_range_90_sim_01_R_unmapped_R.contigs	-:-
st_serotype_mixed_range_90_sim_02_R_unmapped_R.contigs	O6:H10
st_serotype_mixed_range_90_sim_03_R_unmapped_R.contigs	O4:H40
st_serotype_mixed_range_90_sim_04_R_unmapped_R.contigs	O6:H1
st_serotype_mixed_range_90_sim_05_R_unmapped_R.contigs	O103:H2
st_serotype_mixed_range_90_sim_06_R_unmapped_R.contigs	O104:H10/H21
st_serotype_mixed_range_90_sim_07_R_unmapped_R.contigs	O103/O26:H11
st_serotype_mixed_range_90_sim_08_R_unmapped_R.contigs	O157:H7
st_serotype_mixed_range_90_sim_09_R_unmapped_R.contigs	O104:H21
st_serotype_mixed_range_90_sim_10_R_unmapped_R.contigs	O6:H10
st_serotype_mixed_range_rare_sim_01_R_unmapped_R.contigs	O103/O157:H2/H7
st_serotype_mixed_range_rare_sim_02_R_unmapped_R.contigs	O1/O103/O4/O6:H2/H7
st_serotype_mixed_range_rare_sim_03_R_unmapped_R.contigs	O103/O6:H1
st_serotype_mixed_range_rare_sim_04_R_unmapped_R.contigs	O1/O4:H10/H40/H7
st_serotype_mixed_range_rare_sim_05_R_unmapped_R.contigs	O103/O4/O6:H2/H7
st_serotype_mixed_range_rare_sim_06_R_unmapped_R.contigs	O103/O4:H10/H2
st_serotype_mixed_range_rare_sim_07_R_unmapped_R.contigs	O103/O157:H2/H7
st_serotype_mixed_range_rare_sim_08_R_unmapped_R.contigs	O4/O6:H10/H40
st_serotype_mixed_range_rare_sim_09_R_unmapped_R.contigs	O6:H1
st_serotype_mixed_range_rare_sim_10_R_unmapped_R.contigs	O1/O157/O6:H1/H7
