FILE	SCHEME	ST	adk	fumC	gyrB	icd	mdh	purA	recA
st_serotype_mixed_range_80_sim_07_R_unmapped_R.contigs.fa	ecoli	-	12	12	8	12	15?	2	2
st_serotype_mixed_range_rare_sim_08_R_unmapped_R.contigs.fa	ecoli	-	~374	~459	9	13	30	31	2
st_serotype_mixed_range_90_sim_09_R_unmapped_R.contigs.fa	ecoli	53	9	29	12	1	11	13	6
st_serotype_mixed_range_90_sim_07_R_unmapped_R.contigs.fa	ecoli	21	16	4	12	16	9	7	7
st_serotype_mixed_range_60_sim_01_R_unmapped_R.contigs.fa	ecoli	-	127	4	348	13	30	319	510?
st_serotype_mixed_range_80_sim_02_R_unmapped_R.contigs.fa	ecoli	-	~374	13	9	13	16	10	9
st_serotype_mixed_range_rare_sim_03_R_unmapped_R.contigs.fa	ecoli	-	579?	24	9	13	17	11	25
st_serotype_mixed_range_100_sim_07_R_unmapped_R.contigs.fa	ecoli	73	36	24	9	13	17	11	25
st_serotype_mixed_range_rare_sim_09_R_unmapped_R.contigs.fa	ecoli	-	9	24	9	13	388?	13	25
st_serotype_mixed_range_100_sim_02_R_unmapped_R.contigs.fa	ecoli	43	24	11	4	8	8	8	2
st_serotype_mixed_range_70_sim_09_R_unmapped_R.contigs.fa	ecoli	-	~9	11	4	775?	8	8	2
st_serotype_mixed_range_rare_sim_06_R_unmapped_R.contigs.fa	ecoli	-	~277	~459	22	~446	6	7	9
st_serotype_mixed_range_80_sim_10_R_unmapped_R.contigs.fa	ecoli	73	36	24	9	13	17	11	25
st_serotype_mixed_range_70_sim_07_R_unmapped_R.contigs.fa	ecoli	17	6	4	3	17	7	7	6
st_serotype_mixed_range_70_sim_05_R_unmapped_R.contigs.fa	ecoli	-	16	24	9	16	9	7	7
st_serotype_mixed_range_60_sim_09_R_unmapped_R.contigs.fa	ecoli	-	~12	12	~8	12	15	2	2
st_serotype_mixed_range_rare_sim_05_R_unmapped_R.contigs.fa	ecoli	-	~127	38	~19	13	95	~7	25
st_serotype_mixed_range_100_sim_10_R_unmapped_R.contigs.fa	ecoli	17	6	4	3	17	7	7	6
st_serotype_mixed_range_60_sim_06_R_unmapped_R.contigs.fa	ecoli	-	~545	718?	9	~298	17	~13	9
st_serotype_mixed_range_90_sim_10_R_unmapped_R.contigs.fa	ecoli	-	24	11	4	8	563	8	2
st_serotype_mixed_range_rare_sim_07_R_unmapped_R.contigs.fa	ecoli	-	12	12	~270	12	15	2	6
st_serotype_mixed_range_90_sim_01_R_unmapped_R.contigs.fa	ecoli	-	36	24	9	13	17	~214	25
st_serotype_mixed_range_70_sim_10_R_unmapped_R.contigs.fa	ecoli	-	16	4	~12	16	9	7	7
st_serotype_mixed_range_80_sim_04_R_unmapped_R.contigs.fa	ecoli	-	9	24	9	37	17	1	~96
st_serotype_mixed_range_90_sim_04_R_unmapped_R.contigs.fa	ecoli	73	36	24	9	13	17	11	25
st_serotype_mixed_range_100_sim_04_R_unmapped_R.contigs.fa	ecoli	12	13	13	9	13	16	10	9
st_serotype_mixed_range_80_sim_01_R_unmapped_R.contigs.fa	ecoli	-	36	24	9	13	91	11	25
st_serotype_mixed_range_60_sim_03_R_unmapped_R.contigs.fa	ecoli	-	6	962?	3	17	91	~333	~9
st_serotype_mixed_range_80_sim_09_R_unmapped_R.contigs.fa	ecoli	17	6	4	3	17	7	7	6
st_serotype_mixed_range_80_sim_08_R_unmapped_R.contigs.fa	ecoli	17	6	4	3	17	7	7	6
st_serotype_mixed_range_90_sim_08_R_unmapped_R.contigs.fa	ecoli	11	12	12	8	12	15	2	2
st_serotype_mixed_range_100_sim_05_R_unmapped_R.contigs.fa	ecoli	21	16	4	12	16	9	7	7
st_serotype_mixed_range_rare_sim_04_R_unmapped_R.contigs.fa	ecoli	-	9	38	19	37	17	11	9
st_serotype_mixed_range_100_sim_08_R_unmapped_R.contigs.fa	ecoli	-	36	24	9	13	~379	~541	25
st_serotype_mixed_range_rare_sim_02_R_unmapped_R.contigs.fa	ecoli	-	127	38	3	13	17	~23	6
st_serotype_mixed_range_60_sim_07_R_unmapped_R.contigs.fa	ecoli	-	9	29	12	37	17	13	~158
st_serotype_mixed_range_90_sim_05_R_unmapped_R.contigs.fa	ecoli	17	6	4	3	17	7	7	6
st_serotype_mixed_range_60_sim_05_R_unmapped_R.contigs.fa	ecoli	-	9	24	49	13	17	11	36
st_serotype_mixed_range_60_sim_08_R_unmapped_R.contigs.fa	ecoli	-	12	12	8	12	15	2	6
st_serotype_mixed_range_60_sim_04_R_unmapped_R.contigs.fa	ecoli	-	532?	997?	~19	13	~91	~333	510
st_serotype_mixed_range_100_sim_03_R_unmapped_R.contigs.fa	ecoli	11	12	12	8	12	15	2	2
st_serotype_mixed_range_100_sim_09_R_unmapped_R.contigs.fa	ecoli	53	9	29	12	1	11	13	6
st_serotype_mixed_range_90_sim_02_R_unmapped_R.contigs.fa	ecoli	43	24	11	4	8	8	8	2
st_serotype_mixed_range_60_sim_10_R_unmapped_R.contigs.fa	ecoli	17	6	4	3	17	7	7	6
st_serotype_mixed_range_70_sim_04_R_unmapped_R.contigs.fa	ecoli	73	36	24	9	13	17	11	25
st_serotype_mixed_range_90_sim_03_R_unmapped_R.contigs.fa	ecoli	12	13	13	9	13	16	10	9
st_serotype_mixed_range_100_sim_01_R_unmapped_R.contigs.fa	ecoli	53	9	29	12	1	11	13	6
st_serotype_mixed_range_rare_sim_01_R_unmapped_R.contigs.fa	ecoli	-	12	4	~8	~12	~15	~331	6
st_serotype_mixed_range_90_sim_06_R_unmapped_R.contigs.fa	ecoli	53	9	29	12	1	11	13	6
st_serotype_mixed_range_80_sim_03_R_unmapped_R.contigs.fa	ecoli	-	9	29	12	13	~17	13	6
st_serotype_mixed_range_70_sim_01_R_unmapped_R.contigs.fa	ecoli	-	12	12	8	13	15	2	2
st_serotype_mixed_range_70_sim_06_R_unmapped_R.contigs.fa	ecoli	-	9	29	12	1	~11	13	~510
st_serotype_mixed_range_70_sim_08_R_unmapped_R.contigs.fa	ecoli	-	9	13	9	13	17	~14	9
st_serotype_mixed_range_60_sim_02_R_unmapped_R.contigs.fa	ecoli	-	24	~459	4	8	~291	18	2
