filename	sequence_type
st_serotype_mixed_range_100_sim_01_R_unmapped_R.contigs.fa	53
st_serotype_mixed_range_100_sim_02_R_unmapped_R.contigs.fa	43
st_serotype_mixed_range_100_sim_03_R_unmapped_R.contigs.fa	11
st_serotype_mixed_range_100_sim_04_R_unmapped_R.contigs.fa	12
st_serotype_mixed_range_100_sim_05_R_unmapped_R.contigs.fa	21
st_serotype_mixed_range_100_sim_06_R_unmapped_R.contigs.fa	17
st_serotype_mixed_range_100_sim_07_R_unmapped_R.contigs.fa	73
st_serotype_mixed_range_100_sim_08_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_100_sim_09_R_unmapped_R.contigs.fa	53
st_serotype_mixed_range_100_sim_10_R_unmapped_R.contigs.fa	17
st_serotype_mixed_range_60_sim_01_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_60_sim_02_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_60_sim_03_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_60_sim_04_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_60_sim_05_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_60_sim_06_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_60_sim_07_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_60_sim_08_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_60_sim_09_R_unmapped_R.contigs.fa	11*
st_serotype_mixed_range_60_sim_10_R_unmapped_R.contigs.fa	17
st_serotype_mixed_range_70_sim_01_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_70_sim_02_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_70_sim_03_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_70_sim_04_R_unmapped_R.contigs.fa	73
st_serotype_mixed_range_70_sim_05_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_70_sim_06_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_70_sim_07_R_unmapped_R.contigs.fa	17
st_serotype_mixed_range_70_sim_08_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_70_sim_09_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_70_sim_10_R_unmapped_R.contigs.fa	21*
st_serotype_mixed_range_80_sim_01_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_80_sim_02_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_80_sim_03_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_80_sim_04_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_80_sim_05_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_80_sim_06_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_80_sim_07_R_unmapped_R.contigs.fa	11*
st_serotype_mixed_range_80_sim_08_R_unmapped_R.contigs.fa	17
st_serotype_mixed_range_80_sim_09_R_unmapped_R.contigs.fa	17
st_serotype_mixed_range_80_sim_10_R_unmapped_R.contigs.fa	73
st_serotype_mixed_range_90_sim_01_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_90_sim_02_R_unmapped_R.contigs.fa	43
st_serotype_mixed_range_90_sim_03_R_unmapped_R.contigs.fa	12
st_serotype_mixed_range_90_sim_04_R_unmapped_R.contigs.fa	73
st_serotype_mixed_range_90_sim_05_R_unmapped_R.contigs.fa	17
st_serotype_mixed_range_90_sim_06_R_unmapped_R.contigs.fa	53
st_serotype_mixed_range_90_sim_07_R_unmapped_R.contigs.fa	21
st_serotype_mixed_range_90_sim_08_R_unmapped_R.contigs.fa	11
st_serotype_mixed_range_90_sim_09_R_unmapped_R.contigs.fa	53
st_serotype_mixed_range_90_sim_10_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_rare_sim_01_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_rare_sim_02_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_rare_sim_03_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_rare_sim_04_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_rare_sim_05_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_rare_sim_06_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_rare_sim_07_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_rare_sim_08_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_rare_sim_09_R_unmapped_R.contigs.fa	Unknown
st_serotype_mixed_range_rare_sim_10_R_unmapped_R.contigs.fa	Unknown
