sample	serotype
st_serotype_mixed_range_100_sim_01	O104:H21
st_serotype_mixed_range_100_sim_02	O6:H10
st_serotype_mixed_range_100_sim_03	O157:H7
st_serotype_mixed_range_100_sim_04	O4:H40
st_serotype_mixed_range_100_sim_05	O26:H11
st_serotype_mixed_range_100_sim_06	O103:H2
st_serotype_mixed_range_100_sim_07	O6:H1
st_serotype_mixed_range_100_sim_08	O25:H1
st_serotype_mixed_range_100_sim_09	O104:
st_serotype_mixed_range_100_sim_10	O103:H2
st_serotype_mixed_range_60_sim_01	O6:H7
st_serotype_mixed_range_60_sim_02	:H10
st_serotype_mixed_range_60_sim_03	O103/O4:H2
st_serotype_mixed_range_60_sim_04	O6:H1
st_serotype_mixed_range_60_sim_05	:H7
st_serotype_mixed_range_60_sim_06	O4:H2
st_serotype_mixed_range_60_sim_07	O1:H7
st_serotype_mixed_range_60_sim_08	O157:H7
st_serotype_mixed_range_60_sim_09	O157:H7
st_serotype_mixed_range_60_sim_10	O4:H2
st_serotype_mixed_range_70_sim_01	O157/O6:H7
st_serotype_mixed_range_70_sim_02	O157/O4:H1
st_serotype_mixed_range_70_sim_03	:H7
st_serotype_mixed_range_70_sim_04	O4/O6:H7
st_serotype_mixed_range_70_sim_05	O26:H11
st_serotype_mixed_range_70_sim_06	-
st_serotype_mixed_range_70_sim_07	O103:H2
st_serotype_mixed_range_70_sim_08	O4:H7
st_serotype_mixed_range_70_sim_09	O6:H10
st_serotype_mixed_range_70_sim_10	O26:H2
st_serotype_mixed_range_80_sim_01	O103/O6:H1
st_serotype_mixed_range_80_sim_02	O4:H40
st_serotype_mixed_range_80_sim_03	O6:H7
st_serotype_mixed_range_80_sim_04	O1/O25:H7
st_serotype_mixed_range_80_sim_05	O26:H11
st_serotype_mixed_range_80_sim_06	O6:H7
st_serotype_mixed_range_80_sim_07	O157:H7
st_serotype_mixed_range_80_sim_08	O103:H2
st_serotype_mixed_range_80_sim_09	O103/O4:H2
st_serotype_mixed_range_80_sim_10	O6:H7
st_serotype_mixed_range_90_sim_01	:H1
st_serotype_mixed_range_90_sim_02	O6:H10
st_serotype_mixed_range_90_sim_03	O4:H40
st_serotype_mixed_range_90_sim_04	O6:H1
st_serotype_mixed_range_90_sim_05	O103:H2
st_serotype_mixed_range_90_sim_06	O104:H21
st_serotype_mixed_range_90_sim_07	O26:H11
st_serotype_mixed_range_90_sim_08	O157:H7
st_serotype_mixed_range_90_sim_09	O104:
st_serotype_mixed_range_90_sim_10	O6:H10
st_serotype_mixed_range_rare_sim_01	O103/O157:H2
st_serotype_mixed_range_rare_sim_02	O4/O6:H2
st_serotype_mixed_range_rare_sim_03	O6:H1
st_serotype_mixed_range_rare_sim_04	O4:H7
st_serotype_mixed_range_rare_sim_05	O4/O6:H2
st_serotype_mixed_range_rare_sim_06	O103/O4:H10
st_serotype_mixed_range_rare_sim_07	O103/O157:H7
st_serotype_mixed_range_rare_sim_08	O4/O6:H10
st_serotype_mixed_range_rare_sim_09	O6:H1
st_serotype_mixed_range_rare_sim_10	O157/O6:H7
