sample	serotype
st_serotype_mixed_range_100_sim_01	-
st_serotype_mixed_range_100_sim_02	-:H10
st_serotype_mixed_range_100_sim_03	O157:-
st_serotype_mixed_range_100_sim_04	O4:H40
st_serotype_mixed_range_100_sim_05	-
st_serotype_mixed_range_100_sim_06	-:H2
st_serotype_mixed_range_100_sim_07	O6:-
st_serotype_mixed_range_100_sim_08	-
st_serotype_mixed_range_100_sim_09	-
st_serotype_mixed_range_100_sim_10	-:H2
st_serotype_mixed_range_60_sim_01	-
st_serotype_mixed_range_60_sim_02	-:H10
st_serotype_mixed_range_60_sim_03	-:H2
st_serotype_mixed_range_60_sim_04	O6:-
st_serotype_mixed_range_60_sim_05	-
st_serotype_mixed_range_60_sim_06	O4:-
st_serotype_mixed_range_60_sim_07	-
st_serotype_mixed_range_60_sim_08	-
st_serotype_mixed_range_60_sim_09	-:H10
st_serotype_mixed_range_60_sim_10	O4:-
st_serotype_mixed_range_70_sim_01	-
st_serotype_mixed_range_70_sim_02	-
st_serotype_mixed_range_70_sim_03	-:H10
st_serotype_mixed_range_70_sim_04	O6:-
st_serotype_mixed_range_70_sim_05	-
st_serotype_mixed_range_70_sim_06	-
st_serotype_mixed_range_70_sim_07	-
st_serotype_mixed_range_70_sim_08	O4:-
st_serotype_mixed_range_70_sim_09	-
st_serotype_mixed_range_70_sim_10	-
st_serotype_mixed_range_80_sim_01	O6:-
st_serotype_mixed_range_80_sim_02	O4:-
st_serotype_mixed_range_80_sim_03	-
st_serotype_mixed_range_80_sim_04	-
st_serotype_mixed_range_80_sim_05	O26:H7
st_serotype_mixed_range_80_sim_06	-:H10
st_serotype_mixed_range_80_sim_07	-
st_serotype_mixed_range_80_sim_08	-
st_serotype_mixed_range_80_sim_09	-:H2
st_serotype_mixed_range_80_sim_10	O6:-
st_serotype_mixed_range_90_sim_01	-
st_serotype_mixed_range_90_sim_02	-:H10
st_serotype_mixed_range_90_sim_03	O4:-
st_serotype_mixed_range_90_sim_04	O6:-
st_serotype_mixed_range_90_sim_05	-:H2
st_serotype_mixed_range_90_sim_06	-
st_serotype_mixed_range_90_sim_07	O26:-
st_serotype_mixed_range_90_sim_08	-
st_serotype_mixed_range_90_sim_09	-
st_serotype_mixed_range_90_sim_10	-:H10
st_serotype_mixed_range_rare_sim_01	-
st_serotype_mixed_range_rare_sim_02	O4:-
st_serotype_mixed_range_rare_sim_03	O6:-
st_serotype_mixed_range_rare_sim_04	O4:-
st_serotype_mixed_range_rare_sim_05	O6:-
st_serotype_mixed_range_rare_sim_06	O4:-
st_serotype_mixed_range_rare_sim_07	-
st_serotype_mixed_range_rare_sim_08	O4:-
st_serotype_mixed_range_rare_sim_09	O6:-
st_serotype_mixed_range_rare_sim_10	O6:-
